,user_id,age,age_range,gender,country_id,date_joined,last_login,salary,seniority,product,created
0,3073529,28,20-30,m,2.0,2018-10-06 21:23:52,2018-11-06 00:22:12,3.0,5,116,2018-10-07 00:35:19
1,3073586,32,30-40,m,2.0,2018-10-06 22:13:18,2018-10-07 01:13:19,4.0,1,58,2018-10-07 01:17:37
2,3073595,27,20-30,f,1.0,2018-10-06 22:18:25,2018-10-10 13:10:02,3.0,0,99,2018-10-07 18:31:22
3,3073604,28,20-30,f,2.0,2018-10-06 22:31:39,2019-02-01 20:48:47,2.0,1,58,2018-10-07 02:03:20
4,3073658,46,40-50,f,2.0,2018-10-07 01:20:23,2018-10-07 04:29:14,3.0,1,58,2018-10-07 04:38:50
5,3074066,29,20-30,m,2.0,2018-10-07 09:54:38,2018-10-07 12:54:39,4.0,3,116,2018-10-07 14:40:53
6,3074066,29,20-30,m,2.0,2018-10-07 09:54:38,2018-10-07 12:54:39,4.0,3,58,2018-10-07 14:43:35
7,3074066,29,20-30,m,2.0,2018-10-07 09:54:38,2018-10-07 12:54:39,4.0,3,125,2018-10-07 16:39:14
8,3074096,32,30-40,m,2.0,2018-10-07 10:04:26,2018-10-08 00:55:10,3.0,2,115,2018-10-08 01:02:36
9,3074303,45,40-50,f,2.0,2018-10-07 11:58:27,2018-10-07 15:23:47,4.0,3,58,2018-10-07 15:28:44
10,3074672,48,40-50,f,1.0,2018-10-07 15:07:07,2019-01-07 22:19:04,4.0,2,128,2018-12-07 12:32:54
11,3074762,51,50-60,0,1.0,2018-10-07 15:53:53,2018-10-07 19:09:48,5.0,1,99,2018-10-07 19:05:31
12,3074810,28,20-30,f,1.0,2018-10-07 16:28:20,2019-01-08 09:11:16,3.0,0,68,2018-11-03 12:22:24
13,3074810,28,20-30,f,1.0,2018-10-07 16:28:20,2019-01-08 09:11:16,3.0,0,128,2018-12-11 17:00:39
14,3074810,28,20-30,f,1.0,2018-10-07 16:28:20,2019-01-08 09:11:16,3.0,0,131,2018-12-21 11:33:05
15,3074936,38,30-40,f,1.0,2018-10-07 17:28:31,2019-01-29 13:56:39,4.0,0,99,2018-10-07 20:42:17
16,3074951,36,30-40,f,1.0,2018-10-07 17:38:03,2018-11-07 23:19:43,4.0,0,128,2018-11-08 02:56:09
17,3075242,32,30-40,f,1.0,2018-10-07 21:02:04,2019-02-05 17:45:25,4.0,3,99,2018-10-10 18:48:07
18,3075272,51,50-60,f,1.0,2018-10-07 21:25:02,2018-11-23 13:36:16,5.0,3,128,2018-11-08 13:06:33
19,3075272,51,50-60,f,1.0,2018-10-07 21:25:02,2018-11-23 13:36:16,5.0,3,47,2018-11-08 13:06:34
20,3075287,29,20-30,m,1.0,2018-10-07 21:51:15,2019-01-29 18:55:47,5.0,3,131,2018-12-27 10:37:58
21,3075287,29,20-30,m,1.0,2018-10-07 21:51:15,2019-01-29 18:55:47,5.0,3,31,2019-01-29 20:37:03
22,3075287,29,20-30,m,1.0,2018-10-07 21:51:15,2019-01-29 18:55:47,5.0,3,131,2019-01-29 20:38:42
23,3075305,28,20-30,f,1.0,2018-10-07 22:06:18,2018-10-08 01:06:18,2.0,5,99,2018-10-08 01:16:01
24,3075317,29,20-30,f,1.0,2018-10-07 22:19:45,2018-10-09 12:11:37,5.0,2,99,2018-10-08 02:00:54
25,3075524,53,50-60,m,1.0,2018-10-08 07:01:14,2018-11-08 20:41:22,4.0,5,31,2018-11-08 20:49:12
26,3075554,27,20-30,f,1.0,2018-10-08 07:18:41,2018-11-08 11:06:49,5.0,2,128,2018-11-08 11:09:06
27,3075566,31,30-40,m,1.0,2018-10-08 07:17:43,2018-10-08 10:17:44,5.0,4,99,2018-10-08 10:26:58
28,3075668,50,50-60,m,2.0,2018-10-08 09:20:34,2018-10-08 12:20:35,4.0,1,58,2018-10-08 12:38:28
29,3075707,25,20-30,f,2.0,2018-10-08 09:49:59,2018-10-08 12:50:00,3.0,2,115,2018-10-08 12:58:51
30,3076148,28,20-30,m,2.0,2018-10-08 14:32:14,2018-10-08 17:32:16,3.0,1,58,2018-10-08 23:38:08
31,3076226,38,30-40,f,1.0,2018-10-08 15:38:58,2019-01-08 08:18:41,3.0,5,99,2018-10-09 00:24:25
32,3076436,40,40-50,m,2.0,2018-10-08 17:53:17,2018-10-09 11:05:11,5.0,5,58,2018-10-08 21:07:37
33,3076505,28,20-30,m,1.0,2018-10-08 18:27:52,2019-02-02 15:35:40,5.0,3,99,2018-12-09 18:14:22
34,3076553,56,50-60,f,1.0,2018-10-08 18:53:57,2019-01-08 14:37:21,5.0,5,128,2018-11-08 14:07:16
35,3076559,28,20-30,m,2.0,2018-10-08 18:56:43,2018-10-08 21:56:43,3.0,3,115,2018-10-08 22:22:48
36,3076820,28,20-30,m,2.0,2018-10-08 22:12:37,2018-10-23 15:08:53,3.0,0,116,2018-10-09 01:33:12
37,3076847,59,50-60,f,1.0,2018-10-08 22:59:04,2019-01-16 09:59:56,4.0,4,131,2019-01-16 10:04:13
38,3076847,59,50-60,f,1.0,2018-10-08 22:59:04,2019-01-16 09:59:56,4.0,4,131,2019-01-16 10:06:12
39,3076880,34,30-40,m,2.0,2018-10-09 00:58:17,2018-10-09 04:03:41,2.0,2,58,2018-10-09 04:20:14
40,3076928,36,30-40,m,1.0,2018-10-09 06:28:05,2018-10-10 13:05:36,5.0,0,99,2018-10-09 09:59:49
41,3077051,26,20-30,m,2.0,2018-10-09 08:05:05,2018-10-10 23:40:03,4.0,3,58,2018-10-09 21:01:44
42,3077051,26,20-30,m,2.0,2018-10-09 08:05:05,2018-10-10 23:40:03,4.0,3,115,2018-10-09 21:03:57
43,3077102,34,30-40,m,2.0,2018-10-09 08:28:03,2018-10-09 12:13:19,5.0,5,53,2018-10-09 12:35:52
44,3077105,26,20-30,f,2.0,2018-10-09 08:28:33,2018-10-09 22:56:49,3.0,4,125,2018-10-09 17:56:51
45,3077201,29,20-30,f,1.0,2018-10-09 08:55:42,2019-02-05 00:13:35,4.0,3,99,2018-11-09 07:37:47
46,3077255,29,20-30,m,2.0,2018-10-09 09:12:42,2018-10-10 22:47:23,4.0,2,125,2018-10-09 12:21:58
47,3077267,39,30-40,m,2.0,2018-10-09 09:13:35,2018-10-09 12:13:26,4.0,5,58,2018-10-09 12:22:09
48,3077300,37,30-40,m,2.0,2018-10-09 09:22:43,2018-11-19 19:59:02,2.0,2,58,2018-10-09 18:15:05
49,3077303,26,20-30,m,2.0,2018-10-09 09:21:52,2018-10-09 12:25:03,3.0,1,125,2018-10-09 12:35:12
50,3077315,25,20-30,m,2.0,2018-10-09 09:26:13,2018-10-09 12:41:46,3.0,2,58,2018-10-09 12:42:52
51,3077318,29,20-30,f,2.0,2018-10-09 09:27:23,2018-10-09 12:31:15,4.0,2,125,2018-10-09 13:31:06
